Feature,Importance
Healthcare_Costs,0.13072213401064578
Tumor_Size_mm,0.09971979278886492
Incidence_Rate_per_100K,0.09417774285856093
Age,0.09272521242446986
Mortality_Rate_per_100K,0.0818648474461724
Gender_M,0.01742333267773755
Family_History_Yes,0.017202974692347425
Economic_Classification_Developing,0.017127921861775034
Urban_or_Rural_Urban,0.01700526655480075
Smoking_History_Yes,0.016736001064862446
Insurance_Status_Uninsured,0.016686916349095974
Healthcare_Access_Moderate,0.016515924563442728
Alcohol_Consumption_Yes,0.016420947811119885
Screening_History_Regular,0.01626168862059621
Obesity_BMI_Overweight,0.016154569866597582
Cancer_Stage_Regional,0.01572015288732463
Physical_Activity_Moderate,0.015494136947554003
Diet_Risk_Moderate,0.01531522469853489
Diabetes_Yes,0.01525290541834452
Early_Detection_Yes,0.015166719424962031
Healthcare_Access_Low,0.015161738775161741
Obesity_BMI_Obese,0.014798587706304857
Treatment_Type_Surgery,0.014669097335982713
Physical_Activity_Low,0.014386571771658833
Treatment_Type_Combination,0.014218907598086392
Cancer_Stage_Metastatic,0.014196389056048085
Screening_History_Never,0.013802626534447455
Diet_Risk_Low,0.013639174117698404
Inflammatory_Bowel_Disease_Yes,0.013461600165767694
Genetic_Mutation_Yes,0.012836757532673538
Treatment_Type_Radiotherapy,0.012224480994891603
Country_USA,0.009455671930472814
Country_Italy,0.008371313887722387
Country_China,0.008068667136601523
Country_Germany,0.007772245016129808
Country_South Korea,0.007521579431910584
Country_UK,0.007481240485663693
Country_Brazil,0.00726250457058607
Country_India,0.007119486340509557
Country_Japan,0.006953267192509188
Country_Canada,0.00644669209109348
Country_France,0.006349074822934338
Country_New Zealand,0.005788899148943522
Country_Nigeria,0.0049147602644423445
Country_Pakistan,0.004810611890996679
Country_South Africa,0.0045936412329532095
